gene1	gene_type	gene2	gene_type	combined_score
Cyp2j5	Down	Cyp2d26	Down	926
Cyp2j5	Down	Cyp2a12	Down	926
Cyp2c50	Down	Cyp1a2	Down	926
Kng2	Down	Fgg	Down	925
Cyp4f18	Down	Cyp2c37	Down	925
Cyp4f18	Down	Cyp2b9	Down	925
Cyp2d10	Down	Cyp2c37	Down	925
Cyp2c37	Down	Cyp2c29	Down	925
Ugt3a2	Down	Cyp3a11	Down	924
Cyp2e1	Down	Cyp2d10	Down	924
Cyp2c54	Down	Cyp1a2	Down	924
Ugt3a2	Down	Cyp2b9	Down	923
Orm1	Down	Fgb	Down	923
Orm1	Down	Alb	Down	923
Cyp4f18	Down	Cyp2j5	Down	923
Cyp2e1	Down	Cyp2d26	Down	923
Cyp2d26	Down	Cyp2c50	Down	922
Ugt3a2	Down	Cyp2d26	Down	920
Serpina3k	Down	Orm1	Down	920
Kng2	Down	Ahsg	Down	920
Cyp2j5	Down	Cyp2e1	Down	920
Cyp2j5	Down	Cyp1a2	Down	920
Ugt3a2	Down	Cyp2e1	Down	919
Plg	Down	Orm1	Down	919
Cyp2j5	Down	Cyp2c37	Down	919
Cyp2j5	Down	Cyp2c29	Down	919
Cyp2d26	Down	Cyp2c54	Down	919
Cyp2d10	Down	Cyp2c50	Down	919
Ugt3a2	Down	Cyp3a25	Down	918
Ugt3a2	Down	Cyp2c37	Down	918
Ugt3a2	Down	Cyp2c29	Down	918
Ugt3a2	Down	Cyp1a2	Down	918
Tnnt3	Down	Myh1	Down	918
Serpina3k	Down	Hrg	Down	918
Cyp2c54	Down	Cyp2c50	Down	918
Ugt3a2	Down	Cyp2d10	Down	917
Cyp2j5	Down	Cyp2d10	Down	916
Cyp2e1	Down	Cyp2c29	Down	916
Cyp2c50	Down	Cyp2c29	Down	916
Ugt3a2	Down	Cyp2c54	Down	915
Tnnc2	Down	Myh1	Down	915
Cyp2d10	Down	Cyp2b9	Down	915
Cyp2c50	Down	Cyp2c37	Down	915
Cyp2c50	Down	Cyp2a12	Down	915
Serpina3k	Down	Kng2	Down	914
Cyp2e1	Down	Cyp2a12	Down	914
Cyp2d10	Down	Cyp2c54	Down	914
Cyp2c37	Down	Cyp2b9	Down	913
Cyp2j5	Down	Cyp2c50	Down	912
Cyp2e1	Down	Cyp2c50	Down	912
Cyp2e1	Down	Cyp2c37	Down	912
Cyp2d26	Down	Cyp2b9	Down	912
Cyp2c54	Down	Cyp2c29	Down	912
Tnnt3	Down	Myh4	Down	911
Egf	Up	Apob	Down	911
Cyp2e1	Down	Cyp2b9	Down	911
Cyp2c54	Down	Cyp2c37	Down	911
Orm1	Down	Kng2	Down	910
Cyp2j5	Down	Cyp2c54	Down	910
Cyp2c54	Down	Cyp2a12	Down	910
Cyp2b9	Down	Cyp2a12	Down	910
Serpina3k	Down	Ctsw	Down	909
Hrg	Down	Egf	Up	909
Cyp2e1	Down	Cyp2c54	Down	909
Plg	Down	Ctsw	Down	907
Kng2	Down	Ctsw	Down	907
Kng1	Down	Ctsw	Down	907
Fgg	Down	Egf	Up	906
Cyp4f18	Down	Cyp4a10	Down	906
Cyp2j5	Down	Cyp2b9	Down	905
Cyp2c29	Down	Cyp2b9	Down	905
Fgb	Down	Egf	Up	904
Cyp2c54	Down	Cyp2b9	Down	904
Cyp2c50	Down	Cyp2b9	Down	904
Pla2g4d	Up	Cyp4f18	Down	903
Egf	Up	Ahsg	Down	903
Tpo	Down	Tat	Down	901
Serpina3k	Down	Egf	Up	901
Fgg	Down	Ctsw	Down	901
Fgb	Down	Ctsw	Down	901
Tat	Down	Bhmt	Down	900
Pla2g4d	Up	Cyp4a10	Down	900
Pla2g4d	Up	Cyp3a25	Down	900
Pla2g4d	Up	Cyp3a11	Down	900
Pla2g4d	Up	Cyp2j5	Down	900
Pla2g4d	Up	Cyp2e1	Down	900
Pla2g4d	Up	Cyp2c54	Down	900
Pla2g4d	Up	Cyp2c37	Down	900
Pla2g4d	Up	Cyp2c29	Down	900
Pla2g4d	Up	Cyp2b9	Down	900
Pla2g4d	Up	Cyp1a2	Down	900
Orm1	Down	Egf	Up	900
Orm1	Down	Ctsw	Down	900
Hrg	Down	Ctsw	Down	900
Egf	Up	Ctsw	Down	900
Ctsw	Down	Alb	Down	900
Ctsw	Down	Ahsg	Down	900
Hnf4a	Down	Apoa1	Down	897
Tnnc2	Down	Mylpf	Down	891
F2	Down	Alb	Down	886
Tpo	Down	Tg	Down	885
Tnnt3	Down	Myl1	Down	884
Plg	Down	Ambp	Down	883
Myh4	Down	Actg2	Up	879
Myh1	Down	Actg2	Up	879
Tnnc2	Down	Myh4	Down	877
Mylpf	Down	Myh2	Down	877
Tnnc2	Down	Myh2	Down	876
Klk1b4	Up	Klk1b3	Up	872
Fabp1	Down	Apoa1	Down	872
Tnnt3	Down	Myh2	Down	869
Apoc3	Down	Apoa5	Down	869
Cldn7	Up	Cldn4	Up	867
Mylpf	Down	Myh4	Down	866
Tnn	Up	F2	Down	858
Mylpf	Down	Myh1	Down	853
Myl1	Down	Myh1	Down	851
Epcam	Up	Cldn7	Up	849
Myh4	Down	Mybpc2	Down	847
Cldn8	Up	Cldn7	Up	844
Tnnt3	Down	Mybpc2	Down	834
Ngf	Up	Klk1b3	Up	834
Tnnt3	Down	Ckm	Down	833
Hnf4a	Down	Apoc3	Down	833
Cldn8	Up	Cldn4	Up	832
Hpx	Down	Hp	Down	830
Tnni2	Down	Myh4	Down	828
Tnni2	Down	Myh2	Down	825
Serpinc1	Down	Alb	Down	819
Ces1d	Down	Ces1c	Down	818
Tnni2	Down	Myh1	Down	814
Myl1	Down	Myh4	Down	808
Myl1	Down	Myh2	Down	804
Plg	Down	Hpx	Down	799
Tnnc2	Down	Ckm	Down	793
Fgg	Down	Ambp	Down	782
F2	Down	Apoa1	Down	781
Myh4	Down	Myh1	Down	780
Cnn1	Up	Actg2	Up	780
Apoa1	Down	Ahsg	Down	779
Serpina1d	Down	F2	Down	778
F2	Down	Ambp	Down	774
Myh1	Down	Mybpc2	Down	771
Itih1	Down	Ambp	Down	769
Serpina1c	Down	F2	Down	766
Sost	Up	Pth	Down	765
Hpx	Down	Apoa1	Down	760
Tat	Down	Pck1	Down	754
Plg	Down	Apoa1	Down	751
Mat1a	Down	Cps1	Down	751
Myh2	Down	Actg2	Up	749
Serpinc1	Down	Ambp	Down	747
Plg	Down	Cpb2	Down	745
Tnni2	Down	Ckm	Down	742
Ngf	Up	Egf	Up	735
Myl1	Down	Ckm	Down	734
Serpinc1	Down	Hpx	Down	729
Serpina1c	Down	Alb	Down	729
Fgb	Down	Ambp	Down	728
Serpina1a	Down	F2	Down	727
Plg	Down	Ngf	Up	727
Hpx	Down	Gc	Down	727
Apoa1	Down	Ambp	Down	721
Rdh7	Down	Apoc3	Down	714
Mylpf	Down	Mybpc2	Down	713
Hpx	Down	Fgg	Down	711
Fgb	Down	Apoa1	Down	708
Fgg	Down	Apoa1	Down	707
Serpinc1	Down	Cpb2	Down	703
Hpx	Down	F2	Down	703
Serpinc1	Down	Apoa1	Down	701
Gc	Down	Fgb	Down	701
Fabp4	Down	Cd36	Down	700
Apob	Down	Alb	Down	700
Tat	Down	Cps1	Down	697
Tg	Down	Alb	Down	692
Serpinc1	Down	Gc	Down	692
Serpina1a	Down	Alb	Down	692
Serpina1c	Down	Serpina1b	Down	689
Ambp	Down	Alb	Down	689
Hnf4a	Down	Cyp3a11	Down	688
F2	Down	Ahsg	Down	688
Fgl1	Down	F2	Down	686
Myh2	Down	Myh1	Down	682
Fabp1	Down	Apoc3	Down	682
Tnnc2	Down	Actg2	Up	679
Myh4	Down	Ckm	Down	679
Gc	Down	Fgg	Down	676
Crisp3	Up	Crisp1	Up	674
Apoc3	Down	Alb	Down	674
Serpinc1	Down	Kng1	Down	673
Serpina1d	Down	Alb	Down	673
Serpinc1	Down	Hrg	Down	671
Hpx	Down	Apoa2	Down	670
Apoa2	Down	Alb	Down	670
Serpinc1	Down	Klk1b8	Up	668
Serpinc1	Down	Klk1b5	Up	668
Hpx	Down	Ahsg	Down	668
Serpinc1	Down	Klk1b9	Up	667
Rdh7	Down	Cyp2d26	Down	666
Serpina1c	Down	Plg	Down	665
Rdh7	Down	Plg	Down	665
Mylpf	Down	Ckm	Down	660
Pth	Down	Alb	Down	658
Gc	Down	Alb	Down	658
Serpinc1	Down	Ahsg	Down	657
Ambp	Down	Ahsg	Down	657
Pck1	Down	Hnf4a	Down	656
Hnf4a	Down	F2	Down	654
Kng1	Down	Hpx	Down	651
Serpina3k	Down	F2	Down	649
Apoc3	Down	Ambp	Down	649
Hpx	Down	Fgb	Down	648
Plg	Down	F2	Down	647
Hpd	Down	Alb	Down	647
Gc	Down	Apoa1	Down	645
F2	Down	Apoc3	Down	645
Serpina1d	Down	Plg	Down	642
Cyp3a11	Down	Apoc3	Down	641
Hrg	Down	F2	Down	639
F2	Down	Apob	Down	639
Plg	Down	Gc	Down	634
Mat1a	Down	Alb	Down	634
Kng1	Down	Apoa1	Down	634
F2	Down	Apoa2	Down	634
Apoa2	Down	Ambp	Down	634
Ucp1	Down	Cox8b	Down	633
Hpx	Down	Apoc3	Down	633
Cps1	Down	Alb	Down	631
Serpina1b	Down	F2	Down	629
Gc	Down	Ahsg	Down	629
Cyp2e1	Down	Car3	Down	628
Serpina1a	Down	Plg	Down	626
Hp	Down	Alb	Down	625
Serpinc1	Down	Cfi	Down	624
Cyp3a11	Down	Apoa1	Down	623
Cfi	Down	Ambp	Down	623
Apof	Down	Apoa1	Down	623
Cfi	Down	Alb	Down	620
Apoc3	Down	Ahsg	Down	618
Fabp1	Down	Alb	Down	615
Serpina1a	Down	Hp	Down	614
Serpinc1	Down	Apoc3	Down	613
Hpx	Down	Ambp	Down	612
Mybpc2	Down	Ckm	Down	611
Hpd	Down	Cps1	Down	611
Hrg	Down	Hpx	Down	606
Fgg	Down	Cfi	Down	603
Serpina1c	Down	Hp	Down	600
Serpina1d	Down	Hp	Down	599
Serpina1b	Down	Hp	Down	599
Apof	Down	Apoc3	Down	599
Plg	Down	Apoc3	Down	595
Hpd	Down	Apoc3	Down	595
Apoa2	Down	Ahsg	Down	595
Rdh7	Down	Akr1c6	Down	594
Myh2	Down	Ckm	Down	594
Tat	Down	Hnf4a	Down	590
Kng1	Down	Gc	Down	589
Kng1	Down	Ambp	Down	587
Cyp3a11	Down	Alb	Down	585
Cyp3a25	Down	Cps1	Down	583
Cyp3a11	Down	Cps1	Down	583
Ces3a	Down	Ces1d	Down	583
Serpinc1	Down	Apoa2	Down	582
F2	Down	Cfi	Down	582
Mug1	Down	Hpx	Down	581
Myh1	Down	Ckm	Down	578
Plg	Down	Apoa2	Down	577
Apof	Down	Apoa2	Down	576
Rdh7	Down	Cyp3a25	Down	575
Orm1	Down	Hp	Down	574
Cps1	Down	Apoc3	Down	574
Gc	Down	Ambp	Down	573
Pth	Down	Gc	Down	570
Gc	Down	F2	Down	569
Hpd	Down	Cyp2d26	Down	568
Fgg	Down	Apoa2	Down	568
Cyp3a25	Down	Apoc3	Down	567
Serpinc1	Down	Hp	Down	566
Kng1	Down	Apoa2	Down	566
Cps1	Down	Apoa1	Down	563
Rdh7	Down	Apoa1	Down	562
Myh2	Down	Mybpc2	Down	561
Gys2	Down	Fbp1	Down	560
Rdh7	Down	Alb	Down	556
Serpina1b	Down	Plg	Down	553
Kng1	Down	Cfi	Down	551
Cyp2d26	Down	Cps1	Down	550
Rdh7	Down	Cyp2a12	Down	549
Plg	Down	Cfi	Down	549
Serpina1c	Down	Serpina1a	Down	546
Cyp2d26	Down	Apoc3	Down	546
Mybpc2	Down	Actg2	Up	544
Otc	Down	Apoc3	Down	541
Ngf	Up	Kng1	Down	541
Pth	Down	Bglap3	Up	539
Gc	Down	Apoc3	Down	539
Myh4	Down	Myh2	Down	538
Elovl3	Down	Alb	Down	538
Ces1c	Down	Alb	Down	538
Ngf	Up	Kng2	Down	537
Serpinc1	Down	Serpina1d	Down	536
Plg	Down	Cps1	Down	533
Fgb	Down	Apoa2	Down	533
Serpina1d	Down	Cfi	Down	531
Pzp	Down	Alb	Down	531
Fabp1	Down	Apoa2	Down	531
Serpinc1	Down	Akr1c6	Down	530
Serpina1d	Down	Fgg	Down	528
Hp	Down	Gc	Down	528
Serpinc1	Down	Serpina1c	Down	527
Rdh7	Down	Cyp2d10	Down	527
Mug1	Down	Gc	Down	527
Fabp1	Down	Apoa5	Down	527
Pzp	Down	Plg	Down	526
Fgg	Down	Apoc3	Down	526
Tnnc2	Down	Kcnn4	Up	525
Mat1a	Down	Hpx	Down	525
Fgb	Down	Cfi	Down	525
Serpinc1	Down	Serpina1a	Down	524
Slc10a1	Down	Cyp3a11	Down	523
Mat1a	Down	Apoc3	Down	522
Plg	Down	Akr1c6	Down	521
Mug1	Down	Hrg	Down	521
Hpx	Down	Cfi	Down	521
Cyp1a2	Down	Akr1c6	Down	521
Rdh7	Down	Cps1	Down	520
Hp	Down	Fgg	Down	520
F2	Down	Apof	Down	519
Plin1	Down	Fabp4	Down	515
Kng1	Down	Itih1	Down	515
F2	Down	Cd36	Down	515
Serpinc1	Down	Itih1	Down	513
Serpina1c	Down	Cyp3a11	Down	513
Itih1	Down	Hrg	Down	513
Hnf4a	Down	Apob	Down	512
Mug1	Down	Kng1	Down	510
Cyp3a25	Down	Akr1c6	Down	510
Serpina1a	Down	Fgb	Down	508
Mat1a	Down	F2	Down	508
Cyp2d26	Down	Apoa1	Down	508
Serpina1c	Down	Apoa1	Down	507
Gc	Down	Fabp1	Down	507
Plg	Down	Myh1	Down	506
Rdh7	Down	F2	Down	505
Hrg	Down	Gc	Down	504
Hnf4a	Down	Fabp1	Down	504
Esrp1	Up	Epcam	Up	503
Cyp2e1	Down	Alb	Down	502
Cyp2a12	Down	Cps1	Down	502
Cd36	Down	Alb	Down	502
Serpinc1	Down	Apcs	Down	501
Serpina1b	Down	Apoa1	Down	501
Fabp1	Down	Apob	Down	501
Cyp1a2	Down	Alb	Down	501
Pzp	Down	F2	Down	500
F2	Down	Cps1	Down	498
Cyp2c29	Down	Akr1c6	Down	498
Plg	Down	Hpd	Down	497
Ngf	Up	Alb	Down	497
Hpx	Down	Apcs	Down	497
Hp	Down	Fgb	Down	497
Slc10a1	Down	Hnf4a	Down	496
Serpinc1	Down	Pzp	Down	496
Ucp1	Down	Azgp1	Down	495
Serpina1b	Down	Alb	Down	495
F2	Down	Egf	Up	495
Serpina1d	Down	Fgb	Down	494
Hpd	Down	Apoa1	Down	494
Fgg	Down	Fabp1	Down	494
Tat	Down	Otc	Down	493
Otc	Down	Apoa1	Down	493
Plg	Down	Apoa5	Down	492
Apof	Down	Apoa5	Down	492
Serpinc1	Down	Cyp3a11	Down	490
Kng2	Down	Cfi	Down	490
Esrp1	Up	Cldn7	Up	490
Kng1	Down	Hp	Down	489
Rdh7	Down	Fabp1	Down	488
Pck1	Down	Fabp4	Down	487
Klk1b9	Up	Alb	Down	486
Klk1b8	Up	Alb	Down	486
Klk1b5	Up	Alb	Down	486
Gc	Down	Apoa2	Down	486
Fgb	Down	Akr1c6	Down	486
Smgc	Up	Muc19	Up	485
Serpina1a	Down	Fgg	Down	485
Rdh7	Down	Cyp3a11	Down	485
Fabp1	Down	Apoa4	Down	485
Serpinc1	Down	Apob	Down	483
Plg	Down	Mat1a	Down	483
Pck1	Down	Fbp1	Down	483
Hpx	Down	Apof	Down	483
Smr3a	Up	Prol1	Up	482
Kng1	Down	Cps1	Down	482
Tat	Down	Plg	Down	481
Hp	Down	Ambp	Down	481
Pth	Down	Ahsg	Down	480
Kng1	Down	Klk1b5	Up	480
Kng1	Down	Klk1b9	Up	479
Serpina1a	Down	Gc	Down	478
Fgb	Down	Apoc3	Down	478
Cyp2c29	Down	Cps1	Down	478
Cpb2	Down	Atp6v0d2	Up	478
Mug1	Down	Apoa1	Down	477
Ces1d	Down	Cd36	Down	477
Orm1	Down	Hpx	Down	476
Kng1	Down	Apoc3	Down	476
Fabp4	Down	Ces1d	Down	476
Cfi	Down	Apoa1	Down	476
Serpinc1	Down	Mug1	Down	475
Mat1a	Down	Apoa1	Down	475
Serpinc1	Down	Ces1c	Down	474
H2-Q10	Down	Azgp1	Down	474
Cps1	Down	Akr1c6	Down	474
Serpinc1	Down	Rdh7	Down	473
Plg	Down	Ces1c	Down	473
Hnf4a	Down	Cyp1a2	Down	473
Gc	Down	Cfi	Down	472
Plg	Down	Apcs	Down	471
Mug1	Down	Ahsg	Down	471
Hp	Down	Apob	Down	471
Fabp1	Down	F2	Down	471
Hpd	Down	Cyp2d10	Down	470
Cps1	Down	Actg2	Up	470
Krt7	Up	Epcam	Up	469
Ces1c	Down	Ambp	Down	469
Ucp1	Down	Pck1	Down	468
Myom2	Down	Ckm	Down	468
Serpina1d	Down	Ambp	Down	467
Pck1	Down	Apoc3	Down	467
Hrg	Down	Apoa1	Down	467
Fabp1	Down	Ahsg	Down	467
F2	Down	Akr1c6	Down	467
Apof	Down	Alb	Down	467
F2	Down	Ces1c	Down	466
Pkp1	Up	Egf	Up	465
Hrg	Down	Azgp1	Down	465
Fabp1	Down	Cyp4a10	Down	465
Cps1	Down	Ambp	Down	465
Klk1b5	Up	Acpp	Up	464
Fgb	Down	Fabp1	Down	464
Fabp4	Down	Fabp1	Down	464
Serpinc1	Down	Mat1a	Down	462
Mug1	Down	F2	Down	462
Klk1b9	Up	Acpp	Up	462
Myh1	Down	Alb	Down	461
Klk1b9	Up	Ambp	Down	461
Klk1b8	Up	Ambp	Down	461
Serpina1a	Down	Apoa1	Down	460
Pth	Down	Egf	Up	460
Gc	Down	Cyp2d26	Down	460
Fabp1	Down	Cd36	Down	460
Fabp1	Down	Akr1c6	Down	459
F2	Down	Apoa5	Down	459
Rdh7	Down	Kng1	Down	458
Pzp	Down	Hrg	Down	457
Plg	Down	Otc	Down	457
Plg	Down	Apof	Down	457
Otc	Down	Hnf4a	Down	457
Epcam	Up	Cldn4	Up	457
Cyp3a11	Down	Akr1c6	Down	457
Cyp2d26	Down	Alb	Down	457
Serpina1d	Down	Apoa1	Down	456
Orc1	Down	Cps1	Down	456
Myom2	Down	Mylpf	Down	456
Kng1	Down	Apof	Down	456
Epcam	Up	Egf	Up	456
Plg	Down	Itih1	Down	455
Otc	Down	Mat1a	Down	455
Hrg	Down	Ambp	Down	455
Cyp2d26	Down	Akr1c6	Down	455
Slc36a2	Down	Plin1	Down	454
Mat1a	Down	Hpd	Down	454
H2-Q10	Down	Alb	Down	454
Slc36a2	Down	Cox8b	Down	453
Plg	Down	Cd36	Down	453
Fgg	Down	Ces1c	Down	453
F2	Down	Cyp2d26	Down	453
Orm1	Down	Ambp	Down	452
Mug1	Down	Fgb	Down	452
Muc19	Up	Muc13	Up	452
Klk1b5	Up	Ambp	Down	452
Gc	Down	Cpb2	Down	452
Cpb2	Down	Cfi	Down	452
Apob	Down	Ahsg	Down	452
Otc	Down	Akr1c6	Down	451
Mug1	Down	Akr1c6	Down	450
Kng2	Down	Klk1b5	Up	450
Cpb2	Down	Ambp	Down	450
Plg	Down	Cyp2d26	Down	449
Cyp3a25	Down	Apoa1	Down	449
Tat	Down	Apoc3	Down	448
Serpinc1	Down	Fabp1	Down	448
Serpina1c	Down	Hpx	Down	448
Serpina1a	Down	Ambp	Down	448
Kng2	Down	Klk1b9	Up	448
Tnnt3	Down	Myom2	Down	447
Serpina3k	Down	Hpx	Down	447
Serpina1c	Down	Apoa2	Down	447
Mat1a	Down	Ambp	Down	447
Hnf4a	Down	Cyp4a10	Down	447
Fabp1	Down	Cyp2d26	Down	447
Cfi	Down	Ahsg	Down	447
Ucp1	Down	Plin1	Down	446
Rdh7	Down	Cfi	Down	446
Mat1a	Down	Apof	Down	446
Gc	Down	Cps1	Down	446
Fabp4	Down	Apoa1	Down	446
Cyp2a12	Down	Akr1c6	Down	446
Ces1c	Down	Akr1c6	Down	446
Hrg	Down	Apoc3	Down	445
Cyp2d26	Down	Cfi	Down	445
Cyp2d10	Down	Cps1	Down	445
Apoa1	Down	Apcs	Down	445
Tat	Down	Cyp1a2	Down	444
Serpina1d	Down	Ahsg	Down	444
Plg	Down	Mug1	Down	444
Plg	Down	Cyp3a11	Down	444
Cyp2d10	Down	Akr1c6	Down	444
Apof	Down	Ahsg	Down	444
Serpina3k	Down	Hp	Down	443
Hpd	Down	F2	Down	443
Cyp2d26	Down	Ambp	Down	443
Alb	Down	Akr1c6	Down	443
Serpinc1	Down	Apof	Down	442
Rdh7	Down	Ces1c	Down	442
Pth	Down	F2	Down	442
Fgb	Down	Ces1c	Down	442
Cyp3a11	Down	Apoa2	Down	442
Serpinc1	Down	Apoa5	Down	441
Mat1a	Down	Kng1	Down	441
Cyp2d10	Down	Apoc3	Down	441
Ucp1	Down	Fabp4	Down	440
Apof	Down	Ambp	Down	440
Plg	Down	Fabp1	Down	439
Mat1a	Down	Fgg	Down	439
Kng1	Down	Cyp2d26	Down	439
Hnf4a	Down	Apoa4	Down	438
Cps1	Down	Ahsg	Down	438
Smr3a	Up	Dcpp3	Up	437
Rdh7	Down	Hpx	Down	437
Rdh7	Down	Apof	Down	437
Serpinc1	Down	Cyp2d26	Down	436
Hpx	Down	Apoa5	Down	436
Hpd	Down	Ambp	Down	436
Ambp	Down	Akr1c6	Down	436
Pck1	Down	Gys2	Down	435
Kng1	Down	Cpb2	Down	435
Cyp2j5	Down	Akr1c6	Down	435
Cd36	Down	Apoc3	Down	435
Tnni2	Down	Myom2	Down	434
Serpinc1	Down	Klk1b1	Up	434
Hrg	Down	Apoa5	Down	434
Hpd	Down	Cyp3a25	Down	434
Apoa1	Down	Akr1c6	Down	434
Serpina1c	Down	Gc	Down	433
Rdh7	Down	Ambp	Down	433
Mat1a	Down	Apoa2	Down	433
F2	Down	Cyp2a12	Down	433
Cyp2j5	Down	Cps1	Down	433
Serpinc1	Down	Hpd	Down	432
