UNIPROT ID,Protein Name,Docking Rank,Docking Affinity,Gene Rank,Gene P-Value Significance,Fold Change
P70170,,4418,32.65,0.715946535,0.715946535,1.041055699
Q6P542,,685,41.69,0.947860666,0.947860666,0.997347151
Q6P542,,2451,36.18,0.947860666,0.947860666,0.997347151
Q8K268,,2573,35.96,0.780835812,0.780835812,1.021966062
Q99PE8,,5096,31.36,1,1,0.96516966
Q99LR1,,3797,33.74,0.582343747,0.582343747,1.038341238
Q8R0P8,,826,40.91,0.906326201,0.906326201,0.987650109
Q8R0P8,,5914,29.57,0.906326201,0.906326201,0.987650109
Q8CBW3,,979,40.04,0.214534668,0.214534668,1.097928534
Q8CBW3,,979,40.04,0.214534668,0.103112439,0.875677094
Q8CBW3,,1349,38.81,0.214534668,0.214534668,1.097928534
Q8CBW3,,1349,38.81,0.214534668,0.103112439,0.875677094
Q8CBW3,,6009,29.3,0.214534668,0.214534668,1.097928534
Q8CBW3,,6009,29.3,0.214534668,0.103112439,0.875677094
P62484,,6565,27.56,0.268694895,0.268694895,1.084674532
Q8BYZ1,,741,41.38,0.330452396,0.330452396,0.858450001
Q8BYZ1,,6835,26.33,0.330452396,0.330452396,0.858450001
P00520,,3843,33.65,0.831624606,0.831624606,0.980304807
Q4JIM5,,3684,33.93,0.206073427,0.206073427,1.103250902
Q8K4G5,,2136,36.86,0.555029683,0.555029683,1.044358321
Q8BL65,,7042,25,0.950569915,0.950569915,0.993997088
Q5SSL4,,3842,33.65,0.293022021,0.293022021,1.083134917
Q5SSL4,,5259,31.03,0.293022021,0.293022021,1.083134917
Q9QYL7,,7056,24.9,0.602107561,0.602107561,1.05633052
Q61282,,2092,36.96,0.550200428,0.550200428,1.340859378
Q8K2H4,,187,45.9,0.750402377,0.750402377,1.401843367
Q8K2H4,,1310,38.94,0.750402377,0.750402377,1.401843367
Q6ZQK5,,180,45.94,0.676375001,0.676375001,1.034246887
Q6ZQK5,,6369,28.31,0.676375001,0.676375001,1.034246887
O88908,,4602,32.31,0.543981189,0.543981189,0.951411801
O88908,,4602,32.31,0.543981189,0.022320721,0.502031075
Q8BMP6,,4966,31.62,0.832514204,0.832514204,1.020262456
Q8BMP6,,6944,25.65,0.832514204,0.832514204,1.020262456
Q9D061,,6200,28.79,0.990104821,0.990104821,1.002604439
Q5EE38,,422,43.6,0.419925295,0.419925295,0.931900499
Q5EE38,,7193,23.46,0.419925295,0.419925295,0.931900499
Q8R0I0,,4159,33.11,0.590394303,0.590394303,1.076975048
Q8R0I0,,4159,33.11,0.590394303,0.913457466,0.949216265
Q8R0I0,,4159,33.11,0.913457466,0.590394303,1.076975048
Q8R0I0,,4159,33.11,0.913457466,0.913457466,0.949216265
Q9JIX8,,2464,36.17,0.755906323,0.755906323,0.977366172
Q99KI0,,669,41.79,0.671017498,0.671017498,1.026797992
Q99KI0,,672,41.78,0.671017498,0.671017498,1.026797992
Q8VHQ9,,5638,30.26,0.510357157,0.510357157,1.080763459
Q91V12,,2225,36.67,0.800138283,0.800138283,1.016727231
Q91V12,,4658,32.2,0.800138283,0.800138283,1.016727231
Q9QXG4,,494,42.94,0.53808681,0.53808681,1.044733737
Q9QY83,,7160,23.83,1,1,0.971099534
Q8R2S9,,2241,36.64,0.751213253,0.751213253,1.026019597
Q8R2S9,,6561,27.6,0.751213253,0.751213253,1.026019597
Q8R0L9,,5418,30.7,0.660814851,0.660814851,0.907448167
Q8R0L9,,5418,30.7,0.660814851,0.742812355,0.969348381
Q8R534,,4733,32.07,0.581645555,0.581645555,Inf
P97857,,7039,25.03,0.917344664,0.917344664,1.034979307
P59384,,2646,35.83,0.518738155,0.518738155,1.084953276
Q8BNJ2,,7348,19.76,0.46527214,0.46527214,0.906148737
Q68SA9,,7445,8.32,0.633510499,0.633510499,0.838953648
P57110,,7144,23.98,0.444625529,0.444625529,1.126329677
Q80T21,,3337,34.56,0.357010296,0.357010296,0.866022825
Q91ZS8,,2360,36.39,0.424671624,0.424671624,1.059490988
Q91ZS8,,2360,36.39,0.424671624,0.401912286,1.096157539
Q91ZS8,,5457,30.62,0.424671624,0.424671624,1.059490988
Q91ZS8,,5457,30.62,0.424671624,0.401912286,1.096157539
Q91ZS8,,5967,29.42,0.424671624,0.424671624,1.059490988
Q91ZS8,,5967,29.42,0.424671624,0.401912286,1.096157539
Q99MU3,,295,44.63,0.424671624,0.424671624,1.059490988
Q99MU3,,687,41.68,0.424671624,0.424671624,1.059490988
Q99MU3,,1828,37.56,0.424671624,0.424671624,1.059490988
Q99MU3,,2109,36.92,0.424671624,0.424671624,1.059490988
Q99MU3,,2682,35.76,0.424671624,0.424671624,1.059490988
Q99MU3,,3621,34.04,0.424671624,0.424671624,1.059490988
Q99MU3,,4707,32.11,0.424671624,0.424671624,1.059490988
Q91ZS8,,2360,36.39,0.401912286,0.424671624,1.059490988
Q91ZS8,,2360,36.39,0.401912286,0.401912286,1.096157539
Q91ZS8,,5457,30.62,0.401912286,0.424671624,1.059490988
Q91ZS8,,5457,30.62,0.401912286,0.401912286,1.096157539
Q91ZS8,,5967,29.42,0.401912286,0.424671624,1.059490988
Q91ZS8,,5967,29.42,0.401912286,0.401912286,1.096157539
Q60936,,850,40.73,0.913618395,0.913618395,1.004583938
Q60936,,850,40.73,0.913618395,1,1.150763644
Q60936,,891,40.44,0.913618395,0.913618395,1.004583938
Q60936,,891,40.44,0.913618395,1,1.150763644
Q60936,,892,40.44,0.913618395,0.913618395,1.004583938
Q60936,,892,40.44,0.913618395,1,1.150763644
Q60936,,3673,33.95,0.913618395,0.913618395,1.004583938
Q60936,,3673,33.95,0.913618395,1,1.150763644
P51829,,5267,31.02,0.699023085,0.699023085,0.951186754
P51830,,1508,38.37,0.463762701,0.463762701,1.073557811
Q9QYB8,,4556,32.38,0.354887784,0.354887784,1.067341208
Q8CGM1,,602,42.23,0.386201133,0.386201133,1.075702504
Q8CGM1,,1600,38.1,0.386201133,0.386201133,1.075702504
Q8CJ12,,6794,26.54,0.676015452,0.676015452,1.114332314
Q80TR1,,2331,36.47,0.33251924,0.33251924,1.072053953
Q80TR1,,4558,32.38,0.33251924,0.33251924,1.072053953
Q8JZZ7,,6316,28.48,0.58545383,0.58545383,1.041848878
Q80TS3,,2088,36.97,0.270276099,0.270276099,1.084152115
Q80TS3,,4330,32.79,0.270276099,0.270276099,1.084152115
Q99JT9,,3234,34.77,0.179698986,0.179698986,0.886745768
Q60994,,1719,37.78,0.35817501,0.35817501,0.535761224
Q7TNK8,,4998,31.55,0.810511949,0.810511949,0.957525229
Q7TNK8,,4998,31.55,0.810511949,0.805748033,0.835522407
P97297,,1238,39.18,0.810511949,0.810511949,0.957525229
Q7TNK8,,4998,31.55,0.805748033,0.810511949,0.957525229
Q7TNK8,,4998,31.55,0.805748033,0.805748033,0.835522407
Q9Z103,Homeobox,2368,36.37,0.775611378,0.775611378,0.978622489
Q01338,,3522,34.23,0.782303205,0.782303205,0.97266567
Q01338,,3522,34.23,0.782303205,1,1.150763644
Q01338,,3685,33.93,0.782303205,0.782303205,0.97266567
Q01338,,3685,33.93,0.782303205,1,1.150763644
P30545,,1947,37.28,0.993232528,0.993232528,0.994029464
P30545,,3683,33.93,0.993232528,0.993232528,0.994029464
Q01337,,1431,38.59,0.128561512,0.128561512,1.256549514
Q01337,,1525,38.29,0.128561512,0.128561512,1.256549514
P34971,,196,45.77,0.90765907,0.90765907,1.011166048
P34971,,5340,30.86,0.90765907,0.90765907,1.011166048
P18762,,7016,25.23,0.447219627,0.447219627,1.180082489
P25962,,613,42.14,0.964445744,0.964445744,0.969949871
Q9JKV1,,3663,33.97,0.994762663,0.994762663,1.003037746
Q9JKV1,,4243,32.97,0.994762663,0.994762663,1.003037746
Q9JKV1,,4559,32.38,0.994762663,0.994762663,1.003037746
Q9JKV1,,6437,28.15,0.994762663,0.994762663,1.003037746
P28650,,4272,32.92,0.668548984,0.668548984,1.032712796
P28650,,4272,32.92,0.668548984,0.326503778,0.921211325
P46664,,2446,36.2,0.668548984,0.668548984,1.032712796
P28650,,4272,32.92,0.326503778,0.668548984,1.032712796
P28650,,4272,32.92,0.326503778,0.326503778,0.921211325
Q640N1,,379,43.87,0.11017116,0.11017116,0.877834516
Q9Z248,zf-C2H2,774,41.24,0.59829796,0.59829796,1.043448043
Q9Z248,zf-C2H2,1660,37.96,0.59829796,0.59829796,1.043448043
Q9Z248,zf-C2H2,5985,29.39,0.59829796,0.59829796,1.043448043
Q9Z248,zf-C2H2,6931,25.73,0.59829796,0.59829796,1.043448043
Q9CZI9,,2366,36.38,0.655660085,0.655660085,0.926345406
Q9CZI9,,2366,36.38,0.655660085,0.497247733,1.219450887
Q9CZI9,,5068,31.42,0.655660085,0.655660085,0.926345406
Q9CZI9,,5068,31.42,0.655660085,0.497247733,1.219450887
Q9CZI9,,5548,30.44,0.655660085,0.655660085,0.926345406
Q9CZI9,,5548,30.44,0.655660085,0.497247733,1.219450887
Q8BZI0,,1344,38.82,0.693880963,0.693880963,1.035066475
Q8BZI0,,1344,38.82,0.693880963,0.269473608,0.913114636
Q8BZI0,,5132,31.3,0.693880963,0.693880963,1.035066475
Q8BZI0,,5132,31.3,0.693880963,0.269473608,0.913114636
Q8BZI0,,5338,30.86,0.693880963,0.693880963,1.035066475
Q8BZI0,,5338,30.86,0.693880963,0.269473608,0.913114636
Q5DTU0,,1398,38.66,0.693880963,0.693880963,1.035066475
Q5DTU0,,1398,38.66,0.693880963,0.372169933,0.90845612
Q5DTU0,,5632,30.27,0.693880963,0.693880963,1.035066475
Q5DTU0,,5632,30.27,0.693880963,0.372169933,0.90845612
Q80YS6,,840,40.79,0.693880963,0.693880963,1.035066475
Q80YS6,,2453,36.18,0.693880963,0.693880963,1.035066475
Q80YS6,,3526,34.22,0.693880963,0.693880963,1.035066475
Q80YS6,,5060,31.43,0.693880963,0.693880963,1.035066475
Q8BZI0,,1344,38.82,0.269473608,0.693880963,1.035066475
Q8BZI0,,1344,38.82,0.269473608,0.269473608,0.913114636
Q8BZI0,,5132,31.3,0.269473608,0.693880963,1.035066475
Q8BZI0,,5132,31.3,0.269473608,0.269473608,0.913114636
Q8BZI0,,5338,30.86,0.269473608,0.693880963,1.035066475
Q8BZI0,,5338,30.86,0.269473608,0.269473608,0.913114636
Q5DTU0,,1398,38.66,0.372169933,0.693880963,1.035066475
Q5DTU0,,1398,38.66,0.372169933,0.372169933,0.90845612
Q5DTU0,,5632,30.27,0.372169933,0.693880963,1.035066475
Q5DTU0,,5632,30.27,0.372169933,0.372169933,0.90845612
O88573,AF-4,808,41.03,0.321023691,0.321023691,1.230710771
O88573,AF-4,819,40.98,0.321023691,0.321023691,1.230710771
O88573,AF-4,959,40.11,0.321023691,0.321023691,1.230710771
O88573,AF-4,2689,35.74,0.321023691,0.321023691,1.230710771
O88573,AF-4,4022,33.37,0.321023691,0.321023691,1.230710771
O88573,AF-4,5357,30.82,0.321023691,0.321023691,1.230710771
O55112,AF-4,3631,34.02,0.252490903,0.252490903,1.098142996
O55112,AF-4,4887,31.78,0.252490903,0.252490903,1.098142996
P51827,AF-4,1091,39.68,0.124812618,0.124812618,1.127474576
P51827,AF-4,1993,37.2,0.124812618,0.124812618,1.127474576
P51827,AF-4,2156,36.81,0.124812618,0.124812618,1.127474576
P51827,AF-4,2282,36.56,0.124812618,0.124812618,1.127474576
P51827,AF-4,2380,36.34,0.124812618,0.124812618,1.127474576
P51827,AF-4,3648,33.99,0.124812618,0.124812618,1.127474576
P51827,AF-4,5199,31.18,0.124812618,0.124812618,1.127474576
P51827,AF-4,5237,31.09,0.124812618,0.124812618,1.127474576
Q9ESC8,AF-4,571,42.42,0.272385774,0.272385774,1.086686952
Q9ESC8,AF-4,2700,35.73,0.272385774,0.272385774,1.086686952
Q9ESC8,AF-4,4494,32.5,0.272385774,0.272385774,1.086686952
Q9ESC8,AF-4,4723,32.08,0.272385774,0.272385774,1.086686952
Q9ESC8,AF-4,6034,29.24,0.272385774,0.272385774,1.086686952
Q920A7,,2819,35.5,0.714218849,0.714218849,0.973577735
Q920A7,,3576,34.11,0.714218849,0.714218849,0.973577735
Q8JZQ2,,5403,30.73,0.909702222,0.909702222,1.01018765
Q8JZQ2,,6935,25.7,0.909702222,0.909702222,1.01018765
O89020,,2018,37.13,0.20378284,0.20378284,0.177942027
Q3UHD9,,5872,29.67,0.525814191,0.525814191,1.089746625
Q3UHD9,,6012,29.3,0.525814191,0.525814191,1.089746625
Q8VHH5,,6504,27.89,0.554041193,0.554041193,1.040607678
Q09M02,,3480,34.3,0.843724696,0.843724696,0.976174915
Q62151,,5352,30.83,0.745121764,0.745121764,0.894374194
Q62151,,5487,30.55,0.745121764,0.745121764,0.894374194
Q8K2K6,,4695,32.13,0.42347071,0.42347071,1.063777965
Q80WC7,,1729,37.74,0.568282014,0.568282014,1.042457885
Q80WC7,,7392,17.86,0.568282014,0.568282014,1.042457885
Q7TN31,,2874,35.4,0.911986487,0.911986487,1.008231973
Q9ESW4,,6063,29.14,0.953089054,0.953089054,1.003306602
A2AS89,,2348,36.43,0.183367202,0.183367202,1.454091537
Q8CJF8,,674,41.76,0.654810142,0.654810142,1.050150475
Q8C0I1,,6194,28.8,0.857196313,0.857196313,0.987840688
A2ASQ1,,1996,37.19,0.274365388,0.274365388,0.919652797
A2ASQ1,,5938,29.52,0.274365388,0.274365388,0.919652797
Q6PAL7,,6043,29.2,0.11170762,0.11170762,1.129860224
P30561,bHLH,5389,30.75,0.284229664,0.284229664,1.118488281
Q8C4Q6,,239,45.15,0.727888222,0.727888222,0.974391173
Q9EQX4,,2067,37.02,0.097954774,0.097954774,0.672662656
Q9EQX4,,2067,37.02,0.097954774,0.276115882,0.81021953
O70200,,2611,35.9,0.097954774,0.097954774,0.672662656
O70200,,6865,26.19,0.097954774,0.097954774,0.672662656
O70200,,7041,25.01,0.097954774,0.097954774,0.672662656
Q9EQX4,,2067,37.02,0.276115882,0.097954774,0.672662656
Q9EQX4,,2067,37.02,0.276115882,0.276115882,0.81021953
Q9Z0X1,,4595,32.32,0.376289363,0.376289363,0.921952243
Q9Z0X1,,5674,30.18,0.376289363,0.376289363,0.921952243
O70126,,6581,27.51,0.705129988,0.705129988,0.93042706
O70126,,6581,27.51,0.705129988,0.609289008,0.681454392
P31230,,5114,31.33,0.891798725,0.891798725,1.014313286
Q921T2,,88,47.69,0.710752533,0.710752533,0.968512519
Q921T2,,88,47.69,0.710752533,0.539353071,0.95093844
Q921T2,,4254,32.95,0.710752533,0.710752533,0.968512519
Q921T2,,4254,32.95,0.710752533,0.539353071,0.95093844
Q9WVQ1,,922,40.24,0.710752533,0.710752533,0.968512519
Q9WVQ1,,922,40.24,0.710752533,0.122924944,1.120143341
Q9WVQ1,,1258,39.12,0.710752533,0.710752533,0.968512519
Q9WVQ1,,1258,39.12,0.710752533,0.122924944,1.120143341
Q9WVQ1,,2157,36.81,0.710752533,0.710752533,0.968512519
Q9WVQ1,,2157,36.81,0.710752533,0.122924944,1.120143341
Q9WVQ1,,3863,33.62,0.710752533,0.710752533,0.968512519
Q9WVQ1,,3863,33.62,0.710752533,0.122924944,1.120143341
Q9WVQ1,,4132,33.16,0.710752533,0.710752533,0.968512519
Q9WVQ1,,4132,33.16,0.710752533,0.122924944,1.120143341
Q9WVQ1,,5117,31.33,0.710752533,0.710752533,0.968512519
Q9WVQ1,,5117,31.33,0.710752533,0.122924944,1.120143341
Q9WVQ1,,5999,29.32,0.710752533,0.710752533,0.968512519
Q9WVQ1,,5999,29.32,0.710752533,0.122924944,1.120143341
Q9Z0E3,SAND,5882,29.65,0.347384463,0.347384463,1.718260068
Q03963,,4794,31.97,0.239091742,0.239091742,0.900276402
Q03963,,4794,31.97,0.239091742,0.88025815,0.987147502
Q9Z2B5,,5945,29.49,0.536580811,0.536580811,0.950817709
Q9Z2B5,,5945,29.49,0.536580811,0.975842295,0.996833266
Q9QZ05,,3463,34.33,0.620706738,0.620706738,1.099263613
Q9QZ05,,3463,34.33,0.620706738,0.960329622,0.993859289
Q9QZ05,,5934,29.53,0.620706738,0.620706738,1.099263613
Q9QZ05,,5934,29.53,0.620706738,0.960329622,0.993859289
Q9D2H2,,3583,34.11,0.708805867,0.708805867,0.944640746
G3UYQ4,,3273,34.69,0.573442926,0.573442926,0.862637087
G3UWD5,,6985,25.44,0.334901152,0.334901152,1.110110239
Q9WTQ5,,5742,29.97,0.947072178,0.947072178,0.991442874
Q9WTQ5,,6778,26.64,0.947072178,0.947072178,0.991442874
O54931,,6328,28.44,0.787398025,0.787398025,1.624149566
O54931,,6731,26.9,0.787398025,0.787398025,1.624149566
O54931,,7153,23.87,0.787398025,0.787398025,1.624149566
O88987,,2293,36.54,0.987123824,0.987123824,1.030194509
Q60662,,5542,30.46,,,
D3YVF0,,1490,38.41,0.950064833,0.950064833,1.005735447
Q7TN79,,1707,37.81,0.716381188,0.716381188,1.032168153
Q7TN79,,4584,32.33,0.716381188,0.716381188,1.032168153
Q9R0L7,,5942,29.5,0.70450394,0.70450394,0.971223828
Q9R0L7,,5942,29.5,0.70450394,0.501374673,0.948243639
Q9R0L7,,5942,29.5,0.501374673,0.70450394,0.971223828
Q9R0L7,,5942,29.5,0.501374673,0.501374673,0.948243639
Q80VW7,,2992,35.21,0.644739116,0.644739116,0.952713941
Q80VW7,,6082,29.1,0.644739116,0.644739116,0.952713941
Q80VW7,,6739,26.87,0.644739116,0.644739116,0.952713941
P24822,,66,48.63,,,
Q8CG76,,6048,29.18,0.68926254,0.68926254,0.960222312
Q8CG76,,6048,29.18,0.68926254,1,1.150763644
P31750,,2075,37,0.974417032,0.974417032,0.995664702
P31750,,3280,34.68,0.974417032,0.974417032,0.995664702
Q9D1F4,,1778,37.65,0.974417032,0.974417032,0.995664702
Q9D1F4,,1778,37.65,0.974417032,0.792559716,1.02517341
Q9D1F4,,5758,29.94,0.974417032,0.974417032,0.995664702
Q9D1F4,,5758,29.94,0.974417032,0.792559716,1.02517341
Q9D1F4,,1778,37.65,0.792559716,0.974417032,0.995664702
Q9D1F4,,1778,37.65,0.792559716,0.792559716,1.02517341
Q9D1F4,,5758,29.94,0.792559716,0.974417032,0.995664702
Q9D1F4,,5758,29.94,0.792559716,0.792559716,1.02517341
Q9WUA6,,1383,38.7,0.391693407,0.391693407,1.062456814
Q9JHW9,,2901,35.34,0.447579522,0.447579522,0.786068138
Q9JHW9,,2901,35.34,0.447579522,1,1.150763644
A6ZI46,,1570,38.19,0.333838634,0.333838634,1.694412446
Q9D8C3,,7420,14.95,0.417471732,0.417471732,0.877513692
Q61144,,5661,30.21,0.902693744,0.902693744,1.016580571
Q61144,,5661,30.21,0.902693744,0.795721269,1.025194724
P97793,,5441,30.65,0.402758872,0.402758872,0.910688547
Q6P6J4,,5536,30.47,0.276533681,0.276533681,0.847147767
Q3TSG4,,1373,38.73,0.977623706,0.977623706,0.998787642
Q3TSG4,,3317,34.61,0.977623706,0.977623706,0.998787642
Q91ZB0,,4704,32.11,0.229424374,0.229424374,1.419778337
Q924C5,,532,42.7,0.379672089,0.379672089,0.677724147
Q9CSB4,,1814,37.58,0.843103899,0.843103899,1.016470058
Q9CSB4,,1814,37.58,0.843103899,0.606508778,1.041834304
Q9CSB4,,1814,37.58,0.843103899,0.883861317,1.020659398
Q9CSB4,,3100,35,0.843103899,0.843103899,1.016470058
Q9CSB4,,3100,35,0.843103899,0.606508778,1.041834304
Q9CSB4,,3100,35,0.843103899,0.883861317,1.020659398
Q9CSB4,,3594,34.09,0.843103899,0.843103899,1.016470058
Q9CSB4,,3594,34.09,0.843103899,0.606508778,1.041834304
Q9CSB4,,3594,34.09,0.843103899,0.883861317,1.020659398
Q8BVM7,,3792,33.74,0.843103899,0.843103899,1.016470058
Q8BVM7,,3792,33.74,0.843103899,0.672823708,1.438162631
Q8BVM7,,3792,33.74,0.672823708,0.843103899,1.016470058
Q8BVM7,,3792,33.74,0.672823708,0.672823708,1.438162631
O35137,Homeobox,4239,32.98,0.419355376,0.419355376,0.838831274
Q9JJW6,,3364,34.51,0.223172737,0.223172737,1.125056325
Q9JJW6,,3364,34.51,0.223172737,0.888529158,0.978249525
Q9JJW6,,6172,28.85,0.223172737,0.223172737,1.125056325
Q9JJW6,,6172,28.85,0.223172737,0.888529158,0.978249525
O08583,,3161,34.89,0.223172737,0.223172737,1.125056325
O08583,,5282,30.98,0.223172737,0.223172737,1.125056325
O08583,,5979,29.39,0.223172737,0.223172737,1.125056325
Q9JJW6,,3364,34.51,0.888529158,0.223172737,1.125056325
Q9JJW6,,3364,34.51,0.888529158,0.888529158,0.978249525
Q9JJW6,,6172,28.85,0.888529158,0.223172737,1.125056325
Q9JJW6,,6172,28.85,0.888529158,0.888529158,0.978249525
O09174,,2996,35.2,0.666284398,0.666284398,1.047776498
A2AH22,,3692,33.92,0.693856863,0.693856863,0.969981126
P63277,,7029,25.12,,,
Q8CCJ4,,2933,35.3,0.201721175,0.201721175,1.103045214
Q8CCJ4,,2933,35.3,0.201721175,1,1.150763644
Q8CCJ4,,6129,28.96,0.201721175,0.201721175,1.103045214
Q8CCJ4,,6129,28.96,0.201721175,1,1.150763644
Q9R049,,1489,38.42,0.937479868,0.937479868,0.992960397
Q8VHG2,,1407,38.65,0.784037181,0.784037181,1.019556167
Q9D4H4,,2214,36.68,0.665385521,0.665385521,0.948789828
Q9D4H4,,3751,33.82,0.665385521,0.665385521,0.948789828
Q8K371,,5437,30.65,0.264267327,0.264267327,0.881640531
O08739,,1650,37.98,0.918216206,0.918216206,0.996058287
